,Tweet Text,Label,clean_tweet
10,Something really needs to be done to protect ethnic groups in the ICU. Somali people were hugely effected by covid 19 and called the ICU the room of death. The nurses in ICU literally neglect ethnic minority groups and donât say itâs not true Iâve witnessed it many of us have.,0,Something really needs to be done to protect ethnic groups in the ICU. Somali people were hugely effected by covid 19 and called the ICU the room of death. The nurses in ICU literally neglect ethnic minority groups and dont say its not true Ive witnessed it many of us have.
11,Melbourne's public housing towers were locked down with coronavirus. I spent the week testing residents and this is what I saw - ABC News https://t.co/VMdU9Vphhw,0,Melbourne's public housing towers were locked down with coronavirus. I spent the week testing residents and this is what I saw - ABC News
12,Just saw @JoeBiden campaign commercial blaming @realDonaldTrump for elderly #coronavirus deaths...maybe take a look how many elderly died in NY under @NYCMayor #maga #maga2020 #election2020 #kag #nationalist #trump2020 #PoliceLivesMatter,0,Just saw @JoeBiden campaign commercial blaming @realDonaldTrump for elderly #coronavirus deaths...maybe take a look how many elderly died in NY under @NYCMayor #maga #maga2020 #election2020 #kag #nationalist #trump2020 #PoliceLivesMatter
13,"They blamed staff for the spread of the virus through the nursing homes, and not the direct exposure that placing active coronavirus patients in with the general population caused.  (CONT)",0,"They blamed staff for the spread of the virus through the nursing homes, and not the direct exposure that placing active coronavirus patients in with the general population caused. (CONT)"
14,"@tedlieu @realDonaldTrump 20,000 out of 67,000 US coronavirus death were from nursing homes. Why wouldn't you advocate resources to save them instead of wasting it on testing the much less vulnerable population? Dont you care about our elderly? Is it cuz NY screwed it up but governor is a Dem?",0,"@tedlieu @realDonaldTrump 20,000 out of 67,000 US coronavirus death were from nursing homes. Why wouldn't you advocate resources to save them instead of wasting it on testing the much less vulnerable population? Dont you care about our elderly? Is it cuz NY screwed it up but governor is a Dem?"
15,âThe Navajo Nation has surpassed New York and New Jersey for the highest per-capita coronavirus infection rate in the US -- another sign of Covid-19's disproportionate impact on minority communities.â https://t.co/KdPrlH7iGl,0,The Navajo Nation has surpassed New York and New Jersey for the highest per-capita coronavirus infection rate in the US -- another sign of Covid-19's disproportionate impact on minority communities.
16,"Some states are pressuring nursing homes to take coronavirus patients discharged from hospitals, in some cases forcing healthy residents to move. 

â1 in 5 coronavirus deaths in the U.S. are tied to a nursing home.â

https://t.co/dmgkAseNz2",0,"Some states are pressuring nursing homes to take coronavirus patients discharged from hospitals, in some cases forcing healthy residents to move. 1 in 5 coronavirus deaths in the U.S. are tied to a nursing home."
17,"@FOX23 What you need to know is the masks do not stop covid. 

Also the Covid-19 response and numbers are a hoax. https://t.co/z1gESgqSt5",0,@FOX23 What you need to know is the masks do not stop covid. Also the Covid-19 response and numbers are a hoax.
18,@bdly25 @elrington1952 @benjenkers @BBCBreaking If you die in hospital or a care home then they automatically put on the death certificate coronavirus it's a easy cop out as they don't have a autopsy now my mother was in a care home and I've seen how unclean they are and how the staff treat the old people,0,@bdly25 @elrington1952 @benjenkers @BBCBreaking If you die in hospital or a care home then they automatically put on the death certificate coronavirus it's a easy cop out as they don't have a autopsy now my mother was in a care home and I've seen how unclean they are and how the staff treat the old people
19,I  have a request to over prime minter the people who not quite  there job and they are working  if the get from costumer Covid 19  what  you have plan  for them  and for there family please?,0,I have a request to over prime minter the people who not quite there job and they are working if the get from costumer Covid 19 what you have plan for them and for there family please?
20,@SusanColantuono @aravosis Susan Iâve been asking myself that same question! Trump left Kushner in charge of a Covid19 plan. Once they realized it was hitting blue states and low income areas they decided that was their plan. Just let them die. Unbelievably cruel. @jaredkushner,0,@SusanColantuono @aravosis Susan Ive been asking myself that same question! Trump left Kushner in charge of a Covid19 plan. Once they realized it was hitting blue states and low income areas they decided that was their plan. Just let them die. Unbelievably cruel. @jaredkushner
21,Refrigerated trucks requested in Texas and Arizona as morgues fill up due to coronavirus deaths https://t.co/2A2gnrhyxV via @CBSNews COATS ON AND NO LEAVES ON TREES IN MIDDLE OF JULY!!!!   GOOD JOB #FAKENEWSCBS,0,Refrigerated trucks requested in Texas and Arizona as morgues fill up due to coronavirus deaths via @CBSNews COATS ON AND NO LEAVES ON TREES IN MIDDLE OF JULY!!!! GOOD JOB #FAKENEWSCBS
22,"@TexasTribune @Mike_Pence @GregAbbott_TX Yeah sure, great job Abbott. Coronavirus rising in all major counties. No face mask ð· mandatory.",0,"@TexasTribune @Mike_Pence @GregAbbott_TX Yeah sure, great job Abbott. Coronavirus rising in all major counties. No face mask mandatory."
23,Why are we letting this happen? This will encourage a second spike with an elderly population and one small hospital on the Isle of Wight! We are also piloting the Covid-19 app @Aliallez @BorisJohnson @IoWBobSeely @MattHancock,0,Why are we letting this happen? This will encourage a second spike with an elderly population and one small hospital on the Isle of Wight! We are also piloting the Covid-19 app @Aliallez @BorisJohnson @IoWBobSeely @MattHancock
24,"@RealDeniseWelch A virus killed our elderly as planned, DNRs were placed upon them secretly, Covid patients were placed into the care homes, as planned, to spread the disease to the most vulnerable &amp; raise the death rate as planned, Covid 19 has never been identified.. Prove me wrong ... do it!",0,"@RealDeniseWelch A virus killed our elderly as planned, DNRs were placed upon them secretly, Covid patients were placed into the care homes, as planned, to spread the disease to the most vulnerable &amp; raise the death rate as planned, Covid 19 has never been identified.. Prove me wrong ... do it!"
25,"High placed health official in Montreal explains that Covid-19 is about even with the common flu both in terms of mortality and transmissibility, but targets the elderly and those with health issues. Excuse me while I post this on every politician's Twitter account I can find ð",0,"High placed health official in Montreal explains that Covid-19 is about even with the common flu both in terms of mortality and transmissibility, but targets the elderly and those with health issues. Excuse me while I post this on every politician's Twitter account I can find"
26,"@latimeralder @DesmondSwayne Hate to break this to you, but it isn't just old people who have been catching coronavirus.",0,"@latimeralder @DesmondSwayne Hate to break this to you, but it isn't just old people who have been catching coronavirus."
27,"Reminder: It was Trump just last night who said #COVID19 affects ""virtually nobody"" when he insisted #coronavirus only affected the elderly with underlying conditions. 

200,000 dead &amp; millions infected who Trump called ""nobody.""",0,"Reminder: It was Trump just last night who said #COVID19 affects ""virtually nobody"" when he insisted #coronavirus only affected the elderly with underlying conditions. 200,000 dead &amp; millions infected who Trump called ""nobody."""
28,"Coronavirus: Single mother and carer, 26, dies: Single mother Sonja Kaygan died in hospital on Friday morning, her family has said. https://t.co/FE5SEIrLc7",0,"Coronavirus: Single mother and carer, 26, dies: Single mother Sonja Kaygan died in hospital on Friday morning, her family has said."
29,"@NYGovCuomo, you sent the Covid19 patients back to Nursery Homes/Rehab Centers to infect others.  Proven Over 3500+ deaths!   Wow! you really protected to most vulnerable, didnât you?   This was your policy.   Now you hold the nursing homes responsible for your policy.  ð¤",0,"@NYGovCuomo, you sent the Covid19 patients back to Nursery Homes/Rehab Centers to infect others. Proven Over 3500+ deaths! Wow! you really protected to most vulnerable, didnt you? This was your policy. Now you hold the nursing homes responsible for your policy."
30,Covid-19 Deaths Strike Early for Many Minorities - The Wall Street Journal https://t.co/CtEbJeIiYe,0,Covid-19 Deaths Strike Early for Many Minorities - The Wall Street Journal
31,@jojo4545 Coronavirus is murdering people especially when 76% of people of color African Americans and Hispanics in general it goes to show for the lack of response to the coronavirus kill the few true mass murder the money I am so sorry you're going through that right now I will pray,0,@jojo4545 Coronavirus is murdering people especially when 76% of people of color African Americans and Hispanics in general it goes to show for the lack of response to the coronavirus kill the few true mass murder the money I am so sorry you're going through that right now I will pray
32,Coronavirus US: Biden tells Trump 'step up and do your job' over Covid-19 death toll â live https://t.co/K1v66pRuZ5,0,Coronavirus US: Biden tells Trump 'step up and do your job' over Covid-19 death toll live
33,there are thousands of americans still dying of covid19 because of the shitty job you 'did' and then gave up and pretended it was over,0,there are thousands of americans still dying of covid19 because of the shitty job you 'did' and then gave up and pretended it was over
34,"""We really need young people to wake up, they can be extremely deadly to their elderly relatives.""
He said 40 per cent of coronavirus cases were found in 18- to 29-year-olds. https://t.co/RyCGA3JsTI",0,"""We really need young people to wake up, they can be extremely deadly to their elderly relatives."" He said 40 per cent of coronavirus cases were found in 18- to 29-year-olds."
35,"@sammmyak7 The blacks have been used one more time thinking they're fighting for justice ,Floyd was just a victim, this was all planned to cause caius and spread the virus faster so soon enough,  ya'll should expect more death numbers on covid 19",0,"@sammmyak7 The blacks have been used one more time thinking they're fighting for justice ,Floyd was just a victim, this was all planned to cause caius and spread the virus faster so soon enough, ya'll should expect more death numbers on covid 19"
36,"@TheDemocrats @JoeBiden @KamalaHarris Coronavirus is a 99.7% recovery rate, the Dems &amp; CNN want race wars, they want us divided, they want to expand a virus that is not as even harmful as flu

THE TESTING IS MANIPULATED..FALSE POSITIVES GALORE!-!-!-!-!",0,"@TheDemocrats @JoeBiden @KamalaHarris Coronavirus is a 99.7% recovery rate, the Dems &amp; CNN want race wars, they want us divided, they want to expand a virus that is not as even harmful as flu THE TESTING IS MANIPULATED..FALSE POSITIVES GALORE!-!-!-!-!"
37,imagine how embarrassing must it be to have to call your job and tell them you tested positive for covid-19 because you really really really wanted to hear the chainsmokers play closer feat. halsey live in the middle of a pandemic,0,imagine how embarrassing must it be to have to call your job and tell them you tested positive for covid-19 because you really really really wanted to hear the chainsmokers play closer feat. halsey live in the middle of a pandemic
38,I sometimes think about how increasing age is the biggest risk factor in this coronavirus pandemic. Many such epidemic infections hit the children as severly as the elderly. This time it's only by chance we have avoided the trauma of so many children dying.,0,I sometimes think about how increasing age is the biggest risk factor in this coronavirus pandemic. Many such epidemic infections hit the children as severly as the elderly. This time it's only by chance we have avoided the trauma of so many children dying.
39,Trumpâs Delayed COVID-19 Response Cost American Lives. https://t.co/vmSSRDdA5x #trumpdeathclock #covid19 #coronavirus,0,Trumps Delayed COVID-19 Response Cost American Lives. #trumpdeathclock #covid19 #coronavirus
40,@drmarkporter @MattHancock @CMO_England We had a care workers begging on fb for paracetamol yesterday. A home of 60+ w a third w Covid-19 like fevers. We all knew elderly were most at risk. I thought this was why so many were so angry w givt re herd immunity &amp; no protecting the vulnerable but they still didn't protect.,0,@drmarkporter @MattHancock @CMO_England We had a care workers begging on fb for paracetamol yesterday. A home of 60+ w a third w Covid-19 like fevers. We all knew elderly were most at risk. I thought this was why so many were so angry w givt re herd immunity &amp; no protecting the vulnerable but they still didn't protect.
41,pls share [Covid Update] Coronavirus: Senior Chinese officials &amp;#39;removed&amp;#39; as death toll rises- BBC News - https://t.co/NtrFijcZ2J https://t.co/rcN8YHwDBW,0,pls share [Covid Update] Coronavirus: Senior Chinese officials &amp;#39;removed&amp;#39; as death toll rises- BBC News -
42,@realDonaldTrump Now they blame you for an elderly couple eating Fish tank cleaner to cure Covid-19 and one died.  They were duped by old wive tails. https://t.co/ACgIKHfVns,0,@realDonaldTrump Now they blame you for an elderly couple eating Fish tank cleaner to cure Covid-19 and one died. They were duped by old wive tails.
43,@PaulPsgs6000 @CNN If you look into it more than one countries info source you might see what i am trying badly to explain... Covid 19 is another form of flu &amp; that strain changes which is why you find a flu vaccine does not do its job everytime. more die of the flu.  Without closing an economy,0,@PaulPsgs6000 @CNN If you look into it more than one countries info source you might see what i am trying badly to explain... Covid 19 is another form of flu &amp; that strain changes which is why you find a flu vaccine does not do its job everytime. more die of the flu. Without closing an economy
44,"@BGCFreed @CTVNews Deaths YTD: Jan 1 - May 1

Infectious Diseases: 4,320,000
Hunger: 3,720,000
Cancer: 2,730,000
Smoking: 1,660,000
Alcohol: 831,000
HIVAIDS: 560,000
Car Accidents: 449,000
Suicide: 356,000
Malaria: 326,000

Covid19: 235,000 
(Most w/Co-Morbidity OR Elderly)

https://t.co/kt5dnRjCAt",0,"@BGCFreed @CTVNews Deaths YTD: Jan 1 - May 1 Infectious Diseases: 4,320,000 Hunger: 3,720,000 Cancer: 2,730,000 Smoking: 1,660,000 Alcohol: 831,000 HIVAIDS: 560,000 Car Accidents: 449,000 Suicide: 356,000 Malaria: 326,000 Covid19: 235,000 (Most w/Co-Morbidity OR Elderly)"
45,"3 Rhode Island nursing homes have had cases of #coronavirus - did not say which ones. 
#nursinghomes",0,3 Rhode Island nursing homes have had cases of #coronavirus - did not say which ones. #nursinghomes
46,Most of the more vulnerable Covid19 patients are minorities- those without access to healthcare. Trump does not demonstrate concern over their deaths.,0,Most of the more vulnerable Covid19 patients are minorities- those without access to healthcare. Trump does not demonstrate concern over their deaths.
47,@tracybeanz @Tractor444 Remember in the beginning of pandemic  CNN said that more  blacks died from coronavirus then white?,0,@tracybeanz @Tractor444 Remember in the beginning of pandemic CNN said that more blacks died from coronavirus then white?
48,"Good job New York:

If you don't die from the Coronavirus, well guess what? There is something else waiting out there for you now

8 of the 50 prisoners released in NY are level three sex offenders, some of which raped minors.

Really great work Governor Cuomo, freaking idiot",0,"Good job New York: If you don't die from the Coronavirus, well guess what? There is something else waiting out there for you now 8 of the 50 prisoners released in NY are level three sex offenders, some of which raped minors. Really great work Governor Cuomo, freaking idiot"
49,"L.A. County reports 18 new coronavirus deaths, says poor people are three times more likely toÂ die https://t.co/EEQtyAw2oL",0,"L.A. County reports 18 new coronavirus deaths, says poor people are three times more likely todie"
50,1 in 5 Coronavirus Deaths Could Have Been Prevented by Securing Nursing Homes | Frontpage Mag https://t.co/NjyEn61PkD,0,1 in 5 Coronavirus Deaths Could Have Been Prevented by Securing Nursing Homes | Frontpage Mag
51,A senior lecturer at the UoN succumbs to covid-19 - https://t.co/N0xdARIoam,0,A senior lecturer at the UoN succumbs to covid-19 -
52,@real_defender @realDonaldTrump We have 25%of the world's deaths due to Covid-19 with having only 4.25 % of the world's population.  An embarrassingly bad job under Trump's leadership. The buck always stops at the President's feet. Sorry to report these facts.,0,@real_defender @realDonaldTrump We have 25%of the world's deaths due to Covid-19 with having only 4.25 % of the world's population. An embarrassingly bad job under Trump's leadership. The buck always stops at the President's feet. Sorry to report these facts.
53,"@sterlinginks @ADmomof3 @rickklein @DavidMuir Itâs not that surprising. Weâve known for awhile that Covid-19 hits the elderly hardest â part of the reason why itâs annoying when Dems and âscientistsâ continue to say that covid doesnât discriminate (it obviously does, they just want you scared). Flu much deadlier for children",0,"@sterlinginks @ADmomof3 @rickklein @DavidMuir Its not that surprising. Weve known for awhile that Covid-19 hits the elderly hardest part of the reason why its annoying when Dems and scientists continue to say that covid doesnt discriminate (it obviously does, they just want you scared). Flu much deadlier for children"
54,"#covidiots
Blame governors for the coronavirus deaths in nursing homes: Goodwin  https://t.co/7NJhLPuQOP",0,#covidiots Blame governors for the coronavirus deaths in nursing homes: Goodwin
55,This makes more sense. Wondering how so many where dying in NY. Did not help also when you put infected coronavirus people in nursing homes . What kind of people do this. Crazy,0,This makes more sense. Wondering how so many where dying in NY. Did not help also when you put infected coronavirus people in nursing homes . What kind of people do this. Crazy
56,"1/2 A piece of jiggery pokery from the Daily Click Baitâs Cian Tracey. Tracey claims a Munster Academy player, who had been training with the senior squad has been diagnosed with Covid 19. The official Munster statement says; âThe player involved",0,"1/2 A piece of jiggery pokery from the Daily Click Baits Cian Tracey. Tracey claims a Munster Academy player, who had been training with the senior squad has been diagnosed with Covid 19. The official Munster statement says; The player involved"
57,"@realDonaldTrump @OANN Hey dude , the Covid-19 pandemic is raging and killing Americans! 135K Americans have ððð!  Do your Fuxking Job!",0,"@realDonaldTrump @OANN Hey dude , the Covid-19 pandemic is raging and killing Americans! 135K Americans have ! Do your Fuxking Job!"
58,"Disapproval of Trump's Covid-19 Response Soars to 60% as US Shatters Single-Day Record With 75,600 New Infections - https://t.co/xZ49qfugL4 via @commondreams",0,"Disapproval of Trump's Covid-19 Response Soars to 60% as US Shatters Single-Day Record With 75,600 New Infections - via @commondreams"
59,@GovLarryHogan Correction: EVERYONE is at risk of contracting #COVID19! Itâs a novel virus &amp; younger ppl must understand how easily they too can get it! But itâs true that elderly &amp; vulnerable more likely to suffer life-threatening symptoms! Pls fix ur tweet! #FactsMatter #StayHome #coronavirus,0,@GovLarryHogan Correction: EVERYONE is at risk of contracting #COVID19! Its a novel virus &amp; younger ppl must understand how easily they too can get it! But its true that elderly &amp; vulnerable more likely to suffer life-threatening symptoms! Pls fix ur tweet! #FactsMatter #StayHome #coronavirus
60,"@Jenny_Alto @CarlPickering @fingalpimpernel It's not a statistical reality.
What we do know is people with Diabetes, Hypertension or are Overweight are more adversely affected by Covid-19 infections.
There are a number of research papers that have looked at Race/Ethnic Difference in Diabetes such as https://t.co/RAwt5c6ZYZ",0,"@Jenny_Alto @CarlPickering @fingalpimpernel It's not a statistical reality. What we do know is people with Diabetes, Hypertension or are Overweight are more adversely affected by Covid-19 infections. There are a number of research papers that have looked at Race/Ethnic Difference in Diabetes such as"
61,"Trump is Lying again that Plasma is a miracle Drug. The FDA was tricked by Trump calling them the deep state. Letâs Vote and get a real Administration. Trump is a liar and a loser!
#COVID__19 
#coronavirus 
#TrumpIsALiar 
#TrumpsKillingAmericans 
#TrumpIsANationalDisgrace",0,Trump is Lying again that Plasma is a miracle Drug. The FDA was tricked by Trump calling them the deep state. Lets Vote and get a real Administration. Trump is a liar and a loser! #COVID__19 #coronavirus #TrumpIsALiar #TrumpsKillingAmericans #TrumpIsANationalDisgrace
62,PA National Guard Deployed To 10 Nursing Homes Hit By Coronavirus https://t.co/P2yKJNmwx1,0,PA National Guard Deployed To 10 Nursing Homes Hit By Coronavirus
63,"Boris Johnson is in denial and is actively encouraging mass gathering at beaches, we're getting mixed messages from him.  Stopping the daily briefing also gives the impression that it's job done where the coronavirus is concerned.  186 dead yesterday!",0,"Boris Johnson is in denial and is actively encouraging mass gathering at beaches, we're getting mixed messages from him. Stopping the daily briefing also gives the impression that it's job done where the coronavirus is concerned. 186 dead yesterday!"
64,"@chucktodd @MSNBC @AriMelber The reason blacks and browns are getting this virus more is because they are much more giving of hugs, and back pats, etc.  Much more physical than white folk. Sad that their affection is hurting a culture. #Coronavirus",0,"@chucktodd @MSNBC @AriMelber The reason blacks and browns are getting this virus more is because they are much more giving of hugs, and back pats, etc. Much more physical than white folk. Sad that their affection is hurting a culture. #Coronavirus"
65,"Severe Covid-19 impact on ethnic minorities linked to housing and air pollution

- Minority ethnic patients twice as likely to live in deprived environments and to be admitted to intensive care

Story by me
https://t.co/YNJFyuG2ze",0,Severe Covid-19 impact on ethnic minorities linked to housing and air pollution - Minority ethnic patients twice as likely to live in deprived environments and to be admitted to intensive care Story by me
66,More than 2000 Americans have died from the coronavirus so far under Trumps watch. Is he doing a great job people? @GOP,0,More than 2000 Americans have died from the coronavirus so far under Trumps watch. Is he doing a great job people? @GOP
67,"@Lisa22545183  thats about Italy in the usa Is Much higher! 
1/2 of the covid 19 death came from elderly care. Am i right on my research?",0,@Lisa22545183 thats about Italy in the usa Is Much higher! 1/2 of the covid 19 death came from elderly care. Am i right on my research?
68,"Also, many of the usual poll workers are in vulnerable-to-coronavirus categories and are opting out this year. If you are able to do so, please consider signing up! If there arent enuf workers, polling stations are closed (I believe it is a paid job)

https://t.co/36Eslp9um2",0,"Also, many of the usual poll workers are in vulnerable-to-coronavirus categories and are opting out this year. If you are able to do so, please consider signing up! If there arent enuf workers, polling stations are closed (I believe it is a paid job)"
69,"""Nursing homes were the most tragic situation,"" says New York Gov. Cuomo of the many deaths in nursing homes due to coronavirus. ""â¦We lost lives all across the countryâ¦There is no doubt and we have to figure out how to do it better next time because there will be a next time."" https://t.co/ydHD2u2sV0",0,"""Nursing homes were the most tragic situation,"" says New York Gov. Cuomo of the many deaths in nursing homes due to coronavirus. ""We lost lives all across the countryThere is no doubt and we have to figure out how to do it better next time because there will be a next time."""
70,"@realDonaldTrump @NYGovCuomo This, while 184,000+ Americans are dead &amp; dying from coronavirus ON YOUR WATCH! We will not be distracted by your bullshit! How âbout YOU doing your job more and tweeting less! You are a feckless wanna be dictator in search of a country. Americaâs not buying what youâre selling!",0,"@realDonaldTrump @NYGovCuomo This, while 184,000+ Americans are dead &amp; dying from coronavirus ON YOUR WATCH! We will not be distracted by your bullshit! How bout YOU doing your job more and tweeting less! You are a feckless wanna be dictator in search of a country. Americas not buying what youre selling!"
71,"DID YOU KNOW ANYONE CAN CATCH COVID-19 AND THAT BEING RICH AND FAMOUS ISN'T A GUARANTEE YOU WON'T GET SICK OR DIE--BECAUSE I THOUGHT IT WAS JUST FOR POOR PEOPLE AND LIBERALS?!?

#COVID19 #coronavirus #Election2020 https://t.co/xAkNpIvvhx",0,DID YOU KNOW ANYONE CAN CATCH COVID-19 AND THAT BEING RICH AND FAMOUS ISN'T A GUARANTEE YOU WON'T GET SICK OR DIE--BECAUSE I THOUGHT IT WAS JUST FOR POOR PEOPLE AND LIBERALS?!? #COVID19 #coronavirus #Election2020
72,"New Yorkâs coronavirus death toll in nursing homes, already among the highest in the nation, could actually be a significant undercount. https://t.co/teWKh7jIXm via @HuffPost",0,"New Yorks coronavirus death toll in nursing homes, already among the highest in the nation, could actually be a significant undercount. via @HuffPost"
73,"@DavidCornDC GOP has wanted to do away with SS for decades!They see the numbers,they see that Covid19 disproportionally affects the elderly thereby reducing the # of people on SS!
calculated?ð¤ð¤¨ð¡
Wait till they get rid of the ACA-pre-existing conditions",0,"@DavidCornDC GOP has wanted to do away with SS for decades!They see the numbers,they see that Covid19 disproportionally affects the elderly thereby reducing the # of people on SS! calculated? Wait till they get rid of the ACA-pre-existing conditions"
74,"""#Covid19 ""long haulers"" feel they aren't yet getting recognition for an illness that has disabled them for months, with no end in sight."" #coronavirus #covidlonghauler 
#dysautonomia #chronicillness #neurologicsymptoms 

https://t.co/eV2Vqwvl3F",0,"""#Covid19 ""long haulers"" feel they aren't yet getting recognition for an illness that has disabled them for months, with no end in sight."" #coronavirus #covidlonghauler #dysautonomia #chronicillness #neurologicsymptoms"
75,"@DougsSandwichs @donttrythis Yes, you're free to possibly unknowingly &amp; unwittingly spreading Covid-19 to the elderly, the immunocompromised, the ones with underlying symptoms. I'm sure they'd love to spend time in overpriced hospitals having $500 bags of saline dripped into their veins as they cling to life",0,"@DougsSandwichs @donttrythis Yes, you're free to possibly unknowingly &amp; unwittingly spreading Covid-19 to the elderly, the immunocompromised, the ones with underlying symptoms. I'm sure they'd love to spend time in overpriced hospitals having $500 bags of saline dripped into their veins as they cling to life"
76,"Like last March and the ring of Covid 19 round nursing homes?

Grant Shapps says âwe canât afford to wait until deaths are rising before taking actionâ

https://t.co/tXLQUK72Af",0,Like last March and the ring of Covid 19 round nursing homes? Grant Shapps says we cant afford to wait until deaths are rising before taking action
77,@ElRaynerista National Office for Statistics lag behind by a week or two weeks....for for deaths outside of hospital...under Covid 19 Act...cause of death requirements relaxed....we may only know the whole story (includes nursing homes) GPs signing DNRs for Care homes and some disabled groups.,0,@ElRaynerista National Office for Statistics lag behind by a week or two weeks....for for deaths outside of hospital...under Covid 19 Act...cause of death requirements relaxed....we may only know the whole story (includes nursing homes) GPs signing DNRs for Care homes and some disabled groups.
78,"@JakeMadtown @WisconsinStrong Easy to believe WIGOP feels this way. As so many people who have Covid19 and have died are from cities that trend toward Democrats and represent our people of color.
#WIGOPheartless&amp;racist
#statingtheobvious",0,@JakeMadtown @WisconsinStrong Easy to believe WIGOP feels this way. As so many people who have Covid19 and have died are from cities that trend toward Democrats and represent our people of color. #WIGOPheartless&amp;racist #statingtheobvious
79,"Arvind Kejriwal Takes Coronavirus Test, Feeling ""Slightly Better"": Sources - NDTV https://t.co/Lldb9Xz4nu please get well with a big heart country state and humanity need your services with gods grace",0,"Arvind Kejriwal Takes Coronavirus Test, Feeling ""Slightly Better"": Sources - NDTV please get well with a big heart country state and humanity need your services with gods grace"
80,@NYGovCuomo While heâs at it have the NY AG get us an independent report of how many elderly died as a result of your order demanding nursing homes take in Covid-19 patients So far the number we are hearing is 5000+ Iâm sure @JaniceDean and her family would be interested,0,@NYGovCuomo While hes at it have the NY AG get us an independent report of how many elderly died as a result of your order demanding nursing homes take in Covid-19 patients So far the number we are hearing is 5000+ Im sure @JaniceDean and her family would be interested
